≠,№,Показатели,Считаем сами,Учет населения,Баллы за единицу,Точная формулировка вопроса,Комментарии
,254,         Сыгранные женские матчи МЛБЛ,   да,да,5,,
,,   Первенство России среди ветеранов (ПРСВ),,,,,
,,      Участие мужских команд ветераны,,,,,
,255,         Команда ветеранов 40+,   да,да,5,,
,256,         Команда ветеранов 45+,   да,да,5,,
,257,         Команда ветеранов 50+,   да,да,5,,
,258,         Команда ветеранов 55+,   да,да,5,,
,259,         Команда ветеранов 60+,   да,да,5,,
,260,         Команда ветеранов 65+,   да,да,5,,
,,      Участие женских команд ветераны,,,,,
,261,         Команда ветеранов 40+,   да,да,5,,
,262,         Команда ветеранов 45+,   да,да,"5,5",,
,,      Призовые места ветераны мужчины,,,,,
,263,         3 место ветераны 40+,   да,,"5,5",,
,264,         2 место ветераны 40+,   да,,"5,7",,
,265,         1 место ветераны 40+,   да,,"5,7",,
,266,         3 место ветераны 45+,   да,,"5,8",,
,267,         2 место ветераны 45+,   да,,"5,8",,
,268,"         0,5",   да,,6,,
,269,         3 место ветераны 50+,   да,,6,,
,270,         2 место ветераны 50+,   да,,6,,
,271,         1 место ветераны 50+,   да,,6,,
,272,         3 место ветераны 55+,   да,,6,,
,273,         2 место ветераны 55+,   да,,6,,
,274,         1 место ветераны 55+,   да,,6,,
,275,         3 место ветераны 60+,   да,,6,,
,276,         2 место ветераны 60+,   да,,6,,
,277,         1 место ветераны 60+,   да,,6,,
,278,         3 место ветераны 65+,   да,,6,,
,279,         2 место ветераны 65+,   да,,"6,7",,
,280,         1 место ветераны 65+,   да,,"6,7",,
,,      Призовые места ветераны женщины,,,,,
,281,         3 место ветераны 40+,   да,,"6,7",,
,282,         2 место ветераны 40+,   да,,"6,7",,
,283,         1 место ветераны 40+,   да,,"6,7",,
,284,         3 место ветераны 45+,   да,,"6,7",,
,285,         2 место ветераны 45+,   да,,"6,7",,
,286,         1 место ветераны 45+,   да,,"6,7",,
,,         Минибаскет участие команд,,,,,
,,         Участие команд юношей,,,"0,5",,
,,         Участие команд девушек,,,"0,5",,
,,         Минибаскет призовые места юноши,,,,,
,,         3 место минибаскет юноши,,,"0,8",,
,,         2 место минибаскет юноши,,,"1,6",,
,,         1 место минибаскет юноши,,,"2,4",,
,,         Минибаскет призовые места юноши,,,,,
,,         3 место минибаскет юноши,,,"0,8",,
,,         2 место минибаскет юноши,,,"1,6",,
,,         1 место минибаскет юноши,,,"2,4",,
5х5,7,Баскетбольные мероприятия 5х5,,,,,"Отдельно мероприятия мужских и женских соренований, даже если проходят в одно время и в одном месте"
,,   Профессиональный баскетбол и сборные мероприятия,,,,,
,,      Тур проф межрегиональных соревнований,   да,,"6,7",,
,287,      Финал проф межрегиональных соревнований,   да,,"6,7",,
,,      Финал четырех Кубка Тараканова/ Кубка Берлина,   да,,"6,7",,
,,      Финал четырех Высшей лиги,   да,,7,,
,288,      Матч или тур национальной сборной,   да,,7,,
,,      Финал четырех КР,   да,,7,,
,289,      Матч звезд ЕЛ ВТБ,   да,,7,,
,,   Первенство России мероприятия,,,,,
,290,      Тур межрегиональных соревнований ПР,   да,,7,,
,291,      Тур полуфинального этапа ПР,   да,,7,,
,292,      Тур финального этапа ПР,   да,,7,,
,,   Локобаскет мероприятия,,,,,
,293,      Финал Федерального округа Локобаскет,   да,,7,,
,294,      Суперфинал Локобаскет,   да,,7,,
,,   КЭС-Баскет мероприятия,,,,,
,295,      Финал Федерального округа КЭС-Баскет,   да,,7,,
,296,      Суперфинал КЭС-Баскет,   да,,7,,
,,   АСБ мероприятия,,,,,
,297,      Финал высшего дивизиона АСБ,   да,,"7,5",,
,298,      Финал 8 СЛ РЖД среди мужчин,   да,,"7,5",,
,,      Финал 8 СЛ РЖД среди женщин,   да,,"7,5",,
,299,      Матч звезд АСБ,   да,,"7,5",,
,300,      Суперфинал АСБ,   да,,"7,5",,
,,   МЛБЛ мероприятия,,,,,
,301,      Финал ФО или 1 лиги МЛБЛ,   да,,"7,5",,
,,      Суперкубок МЛБЛ,   да,,"7,5",,
,302,      Суперфинал МЛБЛ,   да,,"7,5",,
,,      Всероссийский матч звезд МЛБЛ,   да,,"7,5",,
5х5,8,Судьи и тренеры 5х5,,,,,
,303,   Статистик с лицензией РФБ,   да,да,"7,5",,
,304,   Секретарь с лицензией РФБ,   да,да,"7,5",,
,305,   Статистик с лицензией Фиба,   да,да,"7,5",,
,306,   Секретарь с лицензией Фиба,   да,да,"7,5",,
,,   Судьи в поле 5х5,,,,,
,307,      Судья 5 корзины,   да,да,8,,"Добавить судей 3,2,1 и всероссийской категории, отвечают регионы"
,,      Судья 4 корзины,   да,да,8,,
,308,      Судья 1-3 корзины по рейтингу,   да,да,8,,
,309,      Судья Фиба,   да,да,"8,3",,
,310,      Назначение судьи на игру Фиба,   да,,9,,
,311,      Судейский очный семинар 5х5 с инструктором РФБ,   да,да,9,,
,,   Комиссары 5х5,,,,,
,311,      Комиссар 5 корзины,   да,да,9,,
,,      Комиссар 4 корзины,   да,да,9,,
,312,      Комиссар 1-3 корзины по рейтингу,   да,да,9,,
,313,      Комиссар Фиба,   да,да,10,,"   Добавить национальных инструкторов, система наставничества"
,314,      Назначение комиссара на игру Фиба,   да,,10,,
,,   Комиссии,,,,,   Подумать над судейскими семинарами
,315,      Участник судейского комитета,   да,,10,,
,316,      Участник комиссии по назначению,   да,,10,,   Назначение судей и комиссаров у Жени
,317,      Участник дисциплинарной комисии,   да,,10,,
,318,      Участник просмотровой комиссии,   да,,10,,
,319,      Участник учебно-методической комиссии,   да,,10,,
,,   Тренеры,,,,   Поговорить с Мацаком по категориям тренеров,"   добавить Заслуженный тренер России
Добавить тренеров всех сборных
На будущее по лигам
Общее количество тренеров по 5 фк"
,,   Тренеры вертикаль,,,,,   присваиваем за полный отыгранный сезон
,,      Тренер в УОР,,,,,   присваиваем за полный отыгранный сезон
,,      Помощник тренера молодожной сборной U14,,,,,
,,      Главный тренер молодожной сборной U14,,,,,
,,      Тренер в ДЮБЛ (помощник тренера),,,,,   присваиваем за полный отыгранный сезон
,,      Тренер в ДЮБЛ (главный тренер),,,,,   присваиваем за полный отыгранный сезон
,,      Помощник тренера молодожной сборной U16,,,,,   присваиваем за полный отыгранный сезон
,,      Главный тренер молодожной сборной U16,,,,,   присваиваем за полный отыгранный сезон
,,      Помощник тренера молодожной сборной U18,,,,,   присваиваем за полный отыгранный сезон
,,      Главный тренер молодожной сборной U18,,,,,   присваиваем за полный отыгранный сезон
,,      Тренер в МЛ ВТБ (помощник тренера) / Момощник тренера студенческой сборной,,,,,   присваиваем за полный отыгранный сезон
,,      Тренер в МЛ ВТБ (главный тренер) /Главный тренер студенческой сборной,,,,,   присваиваем за полный отыгранный сезон
,,      Помощник тренера молодожной сборной U20,,,,,   присваиваем за полный отыгранный сезон
,,      Главный тренер молодожной сборной U20,,,,,   присваиваем за полный отыгранный сезон
,,      Тренер в Высшей лиге (помощник тренера),,,,,   присваиваем за полный отыгранный сезон
,,      Тренер в Высшей лиге (главный тренер),,,,,   присваиваем за полный отыгранный сезон
,,      Тренер в Суперлиге (помощник тренера),,,,,   присваиваем за полный отыгранный сезон
,,      Тренер в Суперлиге (главный тренер),,,,,   присваиваем за полный отыгранный сезон
,,      Тренер в ВТБ/Премьер-лиге (помощник тренера),,,,,   присваиваем за полный отыгранный сезон
,,      Тренер в ВТБ/Премьер-лиге (главный тренер),,,,,   присваиваем за полный отыгранный сезон
,,      Момощник тренера национальной сборной,,,,,   присваиваем за полный отыгранный сезон
,,      Главный тренер национальной сборной,,,,,   присваиваем за полный отыгранный сезон
,,   Квалификация тренера,,,,,
,,   3 КВ,   да,да,,,
,,   2 КВ,   да,да,,,
,,   1 КВ,   да,да,,,
,,   Высшая КВ,   да,да,,,
3х3,9,Сборные команды России 3х3,,,,,
,,   Мужчины,,,,,
,320,      Сборная 3х3 U18,   да,да,10,,
,321,      Сборная 3х3 U21,   да,да,10,,
,322,      Сборная 3х3 U23,   да,да,10,,
,323,      Национальная Сборная 3х3,   да,да,10,,
,,   Женщины,,,,,
,324,      Сборная 3х3 U18,   да,да,10,,
,325,      Сборная 3х3 U21,   да,да,10,,
,326,      Сборная 3х3 U23,   да,да,10,,
,327,      Национальная Сборная 3х3,   да,да,10,,
3х3,10,Профессиональный баскетбол 3х3,,,,,Проставить места за турниры 3х3
,,   Участие профессиональных мужских команд,,,,,
,328,      Команда 3х3 в Кубке России,   да,да,10,,
,329,      Команда 3х3 в Лайт квесте (помимо ЧР и КР),,да,10,,"   Лайт квесты – соренования, дающие путевку на Челленджеры"
,330,      Команда 3х3 в Квалификации ЧР 3х3,   да,да,10,,"   Если команда вышлав соответствующий данной квалификации Тандем ( по спортивному принципу или по вайлд-кард), баллы начисляются только за участие в Тандеме"
,331,      Команда 3х3 в Претенденте ЧР 3х3,   да,да,10,,
,332,      Команда 3х3 в Квесте (помимо ЧР и КР),   да,да,10,,"   Квесты – соревнования, дающие путевку на Мастерсы"
,333,      Команда 3х3 в Мастерсе или финале ЧР 3х3,   да,да,10,,
,334,      Команда 3х3 в Спартакиаде сильнейших спортсменов,   да,да,10,,
,335,      Команда 3х3 в Суперквесте и Элитквесте,   да,да,10,,
,336,      Команда 3х3 в Челленджере,   да,да,10,,
,337,      Команда 3х3 в Мировом туре,   да,да,10,,
,,   Участие профессиональных женских команд,,,,,
,338,      Команда 3х3 в Кубке России 3х3,   да,да,10,,
,339,      Команда 3х3 в Квалификации ЧР  3х3,   да,да,10,,
,340,      Команда 3х3 в Претенденте ЧР 3х3,   да,да,10,,
,341,      Команда 3х3 в Тандеме или финале ЧР 3х3,   да,да,10,,
,342,      Команда 3х3 в Спартакиаде сильнейших спортсменов,   да,да,10,,
,,   Призовые места профессиональных мужских команд,,,,,
,341,      3 место в Кубке России 3х3,   да,,10,,
,342,      2 место в Кубке России 3х3,   да,,10,,
,343,      1 место в Кубке России 3х3,   да,,10,,
,344,      3 место в Лайт-квесте (помимо ЧР и КР),,,10,,
,345,      2 место в Лайт-квесте (помимо ЧР и КР),,,10,,
,346,      1 место в Лайт-квесте (помимо ЧР и КР),,,10,,
,347,      3 место в Квесте (помимо ЧР и КР),,,10,,
,348,      2 место в Квесте (помимо ЧР и КР),,,10,,
,349,      1 место в Квесте (помимо ЧР и КР),,,10,,
,350,      3 место в этапе Мастерса ЧР 3х3,   да,,10,,
,351,      2 место в этапе Мастерса ЧР 3х3,   да,,10,,
,352,      1 место в этапе Мастерса ЧР 3х3,   да,,10,,
,353,      3 место в Спартакиаде сильнейших спортсменов 3х3,   да,,10,,
,354,      2 место в Спартакиаде сильнейших спортсменов 3х3,   да,,10,,
,355,      1 место в Спартакиаде сильнейших спортсменов 3х3,   да,,10,,
,356,      3 место в Финале ЧР 3х3,   да,,10,,
,357,      2 место в Финале ЧР 3х3,   да,,10,,
,358,      1 место в Финале ЧР 3х3,   да,,10,,
,359,      1 место в Суперкубке России 3х3,   да,,10,,
,360,      3 место в этапе Суперквесте и Элитквесте,   да,,"11,3",,
,361,      2 место в этапе Суперквесте и Элитквесте,   да,,"11,3",,
,362,      1 место в этапе Суперквесте и Элитквесте,   да,,"11,7",,
,363,      3 место в Челленджере,   да,,"11,7",,
,364,      2 место в Челленджере,   да,,12,,
,365,      1 место в Челленджере,   да,,13,,
,366,      3 место в этапе Мирового тура (Мастерсе / Финале МТ),   да,,13,,
,367,      2 место в этапе Мирового тура (Мастерсе / Финале МТ),   да,,"13,3",,
,368,      1 место в этапе Мирового тура (Мастерсе / Финале МТ),   да,,"13,3",,
,,   Призовые места профессиональных женских команд,,,,,
,369,      3 место в Кубке России 3х3,   да,,"13,3",,
,370,      2 место в Кубке России 3х3,   да,,15,,
,371,      1 место в Кубке России 3х3,   да,,15,,
,372,      3 место в этапе Тандема ЧР 3х3,   да,,15,,
,373,      2 место в этапе Тандема ЧР 3х3,   да,,15,,
,374,      1 место в этапе Тандема ЧР 3х3,   да,,15,,
,375,      3 место в Спартакиаде сильнейших спортсменов 3х3,   да,,15,,
,376,      2 место в Спартакиаде сильнейших спортсменов 3х3,   да,,15,,
,377,      1 место в Спартакиаде сильнейших спортсменов 3х3,   да,,15,,
,378,      3 место в Финале ЧР 3х3,   да,,15,,
,379,      2 место в Финале ЧР 3х3,   да,,15,,
,380,      1 место в Финале ЧР 3х3,   да,,15,,
,381,      1 место в Суперкубке России 3х3,   да,,15,,
3х3,11,Резерв 3х3,,,,,
,,   Участие мужских команд,,,,,
,382,      Команда в Первенстве России 3х3 U18,   да,да,15,,
,383,      Команда в Мастерсе или Финале Первенства России 3х3 U23,   да,да,15,,
,,   Участие женских команд,,,,,
,384,      Команда в Первенстве России 3х3 U18,   да,да,15,,
,385,      Команда в Тандеме или Финале Первенства России 3х3 U23,   да,да,15,,
,,   Призовые места Резерв 3х3 мужчины,,,,,
,386,      3 место в Первенстве России 3х3 U18,   да,,15,,
,387,      2 место в Первенстве России 3х3 U18,   да,,15,,
,388,      1 место в Первенстве России 3х3 U18,   да,,15,,
,389,      3 место в Первенстве России 3х3 U23,   да,,15,,
,390,      2 место в Первенстве России 3х3 U23,   да,,15,,
,391,      1 место в Первенстве России 3х3 U23,   да,,15,,
,,   Призовые места Резерв 3х3 женщины,,,,,
,392,      3 место в Первенстве России 3х3 U18,   да,,15,,
,393,      2 место в Первенстве России 3х3 U18,   да,,15,,
,394,      1 место в Первенстве России 3х3 U18,   да,,15,,
,395,      3 место в Первенстве России 3х3 U23,   да,,15,,
,396,      2 место в Первенстве России 3х3 U23,   да,,15,,
,397,      1 место в Первенстве России 3х3 U23,   да,,15,,
3х3,12,Массовый баскетбол 3х3,,,,,"Только то, что есть в ЕКП"
,,   Мужские команды в соревнованиях из федер ЕКП,,,,,
,398,      Команда U18 3х3,,да,15,,"   Категория U18 – игроки, которым в год проведения соревнования и младше исполняется 18 лет. Укажите названия команд U18, итоговое место, а также прикрепите ссылки на турниры с сайта play.fiba3x3.com."
,399,      Команда без возрастных ограничений 3х3,,да,15,,
,,   Женские команды в соревнованиях из федер ЕКП,,,,,
,400,      Команда U18 3х3,,да,15,,"   Категория U18 – игроки, которым в год проведения соревнования и младше исполняется 18 лет. Укажите названия команд U18, итоговое место, а также прикрепите ссылки на турниры с сайта play.fiba3x3.com."
,401,      Команда без возрастных ограничений 3х3,,да,"16,7",,
,,   Мужские команды неофициальном международном турнире,,,,,
,402,   Команда 3х3 в неофициальном международном турнире,   да,,15,,"   (Moscow open, екл)"
,,   Женские команды неофициальном международном турнире,,,,,
,403,   Команда 3х3 в неофициальном международном турнире,   да,,"16,7",,"   (Moscow open, екл)"
,,   Призовые места Массовый баскетбол 3х3 мужчины,,,,,
,402,      3 место в соревнованиях из федер ЕКП 3х3 U18,,,"16,7",,
,403,      2 место в соревнованиях из федер ЕКП 3х3 U18,,,"16,7",,
,404,      1 место в соревнованиях из федер ЕКП 3х3 U18,,,17,,
,405,      3 место в соревнованиях из федер ЕКП 3х3 U23,,,17,,
,406,      2 место в соревнованиях из федер ЕКП 3х3 U23,,,"17,5",,
,407,      1 место в соревнованиях из федер ЕКП 3х3 U23,,,"17,5",,
,408,      3 место в неофициальных международных соревнованиях ,,,"17,5",,
,409,      2 место в неофициальных международных соревнованиях ,,,"17,5",,
,410,      1 место в неофициальных международных соревнованиях ,,,20,,
,,   Призовые места Массовый баскетбол 3х3 женщины,,,,,
,408,      3 место в соревнованиях из федер ЕКП 3х3 U18,,,20,,
,409,      2 место в соревнованиях из федер ЕКП 3х3 U18,,,20,,
,410,      1 место в соревнованиях из федер ЕКП 3х3 U18,,,20,,
,411,      3 место в соревнованиях из федер ЕКП 3х3 U23,,,20,,
,412,      2 место в соревнованиях из федер ЕКП 3х3 U23,,,20,,
,413,      1 место в соревнованиях из федер ЕКП 3х3 U23,,,20,,
,414,      3 место в неофициальных международных соревнованиях ,,,20,,
,415,      2 место в неофициальных международных соревнованиях ,,,20,,
,416,      1 место в неофициальных международных соревнованиях ,,,20,,
3х3,13,Баскетбольные мероприятия 3х3,,,,,"Начисляем за целый турнир
Отдельно мероприятия мужских и женских соренований, даже если проходят в одно время и в одном месте"
,414,   Турнир 3х3 из регионального КП,,,20,,
,415,   Этап регионального соренования АСБ 3х3,   да,,20,,
,,   Этап отборочного соревнования к ПР U23 3х3,   да,,20,,
,416,   Этап отборочного соревнования к ПР U18 3х3,   да,,"22,5",,
,417,   Этап отборочного соренования к КР 3х3,   да,,"22,5",,
,418,   Прочие внутриросийские турниры 3х3,,,"22,5",,
,419,   Этап или финал ПР U23 3х3,   да,,"22,5",,
,420,   Этап или финал ПР U18 3х3,   да,,"22,5",,
,421,   Этап лайт-квеста,,,25,,
,422,   Этап квеста (помимо ЧР и КР),,,25,,
,423,   Прочие международные турниры 3х3 из фед ЕКП,,,25,,
,424,   Этап женской мировой серии 3х3,   да,,25,,
,425,   Суперфинал АСБ 3х3,   да,,25,,
,426,   Квалификация ЧР 3х3,   да,,25,,
,427,   Претендент / Мастерс ЧР 3х3,   да,,25,,
,427,   КР 3х3,   да,,25,,
,428,   Тандем Лиги Наций 3х3,   да,,"26,7",,
,429,   Неофициальные международные турниры,   да,,"26,7",,
,430,   Международные турниры,   да,,30,,
,431,   Элит-квест,   да,,30,,
,,   Международные лиги,   да,,30,,
,432,   Финал ЧР 3х3,   да,,30,,
,433,   Суперквест,   да,,30,,
,434,   Челленджер ФИБА 3х3,   да,,30,,
,435,   Мастерс ФИБА 3х3,   да,,30,,
,436,   Кубок Европы 3х3,   да,,30,,
,437,   Кубок Мира 3х3,   да,,"33,3",,
3х3,14,Судьи 3х3,,,,,
,436,   Судейский очный семинар 3х3 инструктором РФБ,   да,да,"33,3",,
,,   Судьи с категорями и лицензиям РФБ,,,,,
,437,      Судья 3х3 (Лицензия Б),   да,да,"33,3",,
,438,"      Лицо, имеющее лицензию судьи-секретаря в системе Play.Fiba 3x3",   да,,35,,
,439,"      Судья с лицензией Б, получивший назначение от РФБ",   да,,40,,"За сам факт за сезон, а не за каждый тур"
,440,      Судья ЧР 3х3 (Лицензия А),   да,,40,,
,441,      Главный судья ЧР 3х3 (Лицензия А),   да,,40,,
,,   Судьи с категориями Фиба,,,,,
,442,      Судья с категорией А Фиба,   да,,40,,
,443,      Судья с категорией B Фиба,   да,,40,,
,444,      Судья с категорией C Фиба,   да,,45,,
,445,      Назначение на международные турниры 5-6 цвета судьи с категорией Фиба,   да,,45,,
,446,      Назначение на международные турниры 7-8 цвета судьи с категорией Фиба,   да,,45,,
,447,      Назначение на международные турниры 9-10 цвета судьи с категорией Фиба,   да,,45,,
,15,Прочее,,,,,
,,   тихий!баскетбол,,,,,
,449,      Команда в ЧР по баскетболу среди глухих,      да,,45,,
,450,      Команда в ЧР по баскетболу среди ЛИН,      да,,45,,
,,      Команда 3х3 в Лиге сильных людей,      да,,45,,
,451,      Принятие тура/ соревнований,      да,,50,,
,453,      Команда в ЧР по баскетболу на колясках,      да,,50,,
,,      Участие в Гранте «тихий!баскетбол»,      да,,50,,
,,   Участие команд интерактивный баскетбол,,,,,
,454,      Команда в ЧР по интер баскетболу,      да,,50,,
,455,      Команда КР по интер баскетболу,      да,,50,,
,,   Призовые места интерактивный баскетбол,,,,,
,456,      3 место в ЧР по интер баскетболу,      да,,50,,
,457,      2 место в ЧР по интер баскетболу,      да,,,,
,458,      1 место в ЧР по интер баскетболу,      да,,,,
,459,      3 место в КР по интер баскетболу,      да,,,,
,460,      2 место в КР по интер баскетболу,      да,,,,
,461,      1 место в КР по интер баскетболу,      да,,,,
,462,Оффлайн турниры по интер баскетболу,      да,,,,"(Главное, чтобы давали площадку)"
