≠,№,Показатели,Считаем сами,Учет населения,Баллы за единицу,Точная формулировка вопроса,Комментарии
,40,   Воспитанники мужчины из региона в местных в проф клубах,,да,"0,5","Общее количество мужских воспитанников из региона, выступающих за местные профессиональные клубы в Суперлиге 2, Суперлиге 1, Кубке России, ЕЛ ВТБ, Еврокубке ФИБА, Еврокубке (Евролига), Лиге Чемпионов ФИБА или Евролиге","   Если 4 полных сезона до 20 лет игрок числился спортивной школе или клубе, можно 2 региона. Проверяем только игроков до 2000 гр включительно"
,41,   Воспитанники женщины из региона в местных в проф клубах,,да,"0,5","Общее количество женских воспитанников из региона, выступающих за местные профессиональные клубы в Суперлиге 2, Суперлиге 1, Кубке России, Премьер лиге, Еврокубке ФИБА или Евролиге ФИБА","   Если 4 полных сезона до 20 лет игрок числился спортивной школе или клубе, можно 2 региона. Проверяем только игроков до 2000 гр включительно"
,,   Маркетинг профессиональных клубов,,,,,
,42,      Клуб с активным официальным сайтом,,,"0,5",,"   Актуальные новости, календарь, результаты игр, состав"
,43,      Клуб с фирменным стилем,,,"0,5",,
,44,      Клуб с активным сообществом ВКонтакте,,,"0,53",,   Регулярность публикаций  не менее 2-3 публикации в месяц в активной части сезона
,45,      Клуб с активным Telegram-каналом,,,"0,6",,   Регулярность публикаций  не менее 2-3 публикации в месяц в активной части сезона
,46,      Клуб с билетной программой,,,"0,6",,"   Наличие страницы, на которой продаются билеты"
,47,      Клуб с взаимодействием с крупным партнером,,,"0,6",,   До 15 баллов региону на усмотрение департамента маркетинга
,,   Участие команд в профессиональных лигах мужчины,,,,,
,,      Команда в отборочном турнире к КР (кубок Тараканова),   да,да,"0,6",,
,48,      Команда в проф межрегиональных соревнованиях,   да,да,"0,6",,
,49,      Команда в Высшей лиге,   да,да,"0,6","Общее колличество мужских команд, представляющих регион в Суперлиге 2",
,50,      Команда в Суперлиге ,   да,да,"0,6","Общее колличество мужских команд, представляющих регион в Суперлиге 1",
,51,      Команда в Кубке России,   да,да,"0,15","Общее колличество мужских команд, представляющих регион в Кубке России",
,52,      Команда в ЕЛ ВТБ,   да,да,"0,7","Общее колличество мужских команд, представляющих регион в ЕЛ ВТБ",
,53,      Команда в Кубке Европы ФИБА,   да,да,"0,7","Общее колличество мужских команд, представляющих регион в Еврокубке ФИБА",
,54,      Команда в Еврокубке (Евролига),   да,да,"0,75","Общее колличество мужских команд, представляющих регион в Еврокубке (Евролига)",
,55,      Команда в Лиге Чемпионов ФИБА,   да,да,"0,75","Общее колличество мужских команд, представляющих регион в Лиге Чемпионов ФИБА",
,56,      Команда в Евролиге,   да,да,"0,75","Общее колличество мужских команд, представляющих регион в Евролиге",
,,   Участие команд в профессиональных лигах женщины,,,,,
,,      Команда в отборочном турнире к КР (кубок Берлина),   да,да,"0,8",,
,57,      Команда в проф межрегиональных соревнованиях,   да,да,"0,8",,
,58,      Команда в Высшей лиге,   да,да,"0,8","Общее колличество женских команд, представляющих регион в Суперлиге 2",
,59,      Команда в Суперлиге ,   да,да,"0,8","Общее колличество женских команд, представляющих регион в Суперлиге 1",
,60,      Команда в Кубке России,   да,да,"0,8","Общее колличество женских команд, представляющих регион в Кубке России",
,61,      Команда в Премьер лиге,   да,да,"0,8","Общее колличество женских команд, представляющих регион в Премьер лиге",
,62,      Команда в Еврокубке ФИБА,   да,да,"0,8","Общее колличество женских команд, представляющих регион в Еврокубке ФИБА",
,63,      Команда в Евролиге ФИБА,   да,да,"0,8","Общее колличество женских команд, представляющих регион в Евролиге ФИБА",
,,   Призовые места в профессиональных лигах мужчины,,,,,
,,      3 место в Кубке Тараканова,   да,,"0,8",,
,,      2 место в Кубке Тараканова,   да,,1,,
,,      1 место в Кубке Тараканова,   да,,1,,
,64,      3 место в проф межрегиональных соревнованиях,   да,,1,,
,65,      2 место в проф межрегиональных соревнованиях,   да,,1,,
,66,      1 место в проф межрегиональных соревнованиях,   да,,1,,
,67,      3 место в Высшей лиге,   да,,1,"Мужская команда, представляющая регион заняла 3 место в Суперлиге 2",
,68,      2 место в Высшей лиге,   да,,1,"Мужская команда, представляющая регион заняла 2 место в Суперлиге 2",
,69,      1 место в Высшей лиге,   да,,1,"Мужская команда, представляющая регион заняла 1 место в Суперлиге 2",
,70,      3 место в Суперлиге ,   да,,1,"Мужская команда, представляющая регион заняла 3 место в Суперлиге 1",
,71,      2 место в Суперлиге ,   да,,1,"Мужская команда, представляющая регион заняла 2 место в Суперлиге 1",
,72,      1 место в Суперлиге ,   да,,1,"Мужская команда, представляющая регион заняла 1 место в Суперлиге 1",
,73,      3 место в Кубке России,   да,,1,"Мужская команда, представляющая регион заняла 3 место в Кубке России",
,74,      2 место в Кубке России,   да,,1,"Мужская команда, представляющая регион заняла 2 место в Кубке России",
,75,      1 место в Кубке России,   да,,1,"Мужская команда, представляющая регион заняла 1 место в Кубке России",
,76,      1 место в Суперкубке,   да,,1,,
,77,      3 место в ЕЛ ВТБ,   да,,1,"Мужская команда, представляющая регион заняла 3 место в ЕЛ ВТБ",
,78,      2 место в ЕЛ ВТБ,   да,,1,"Мужская команда, представляющая регион заняла 2 место в ЕЛ ВТБ",
,79,      1 место в ЕЛ ВТБ,   да,,1,"Мужская команда, представляющая регион заняла 1 место в ЕЛ ВТБ",
,80,      3 место в Кубке Европы ФИБА,   да,,1,"Мужская команда, представляющая регион заняла 3 место в Еврокубке ФИБА",
,81,      2 место в Кубке Европы ФИБА,   да,,1,"Мужская команда, представляющая регион заняла 2 место в Еврокубке ФИБА",
,82,      1 место в Кубке Европы ФИБА,   да,,1,"Мужская команда, представляющая регион заняла 1 место в Еврокубке ФИБА",
,83,      3 место в Еврокубке (Евролига),   да,,1,"Мужская команда, представляющая регион заняла 3 место в Евролиге",
,84,      2 место в Еврокубке (Евролига),   да,,1,"Мужская команда, представляющая регион заняла 2 место в Евролиге",
,85,      1 место в Еврокубке (Евролига),   да,,1,"Мужская команда, представляющая регион заняла 1 место в Евролиге",
,86,      3 место в Лиге Чемпионов ФИБА,   да,,1,"Мужская команда, представляющая регион заняла 3 место в Лиге Чемпионов ФИБА",
,87,      2 место в Лиге Чемпионов ФИБА,   да,,1,"Мужская команда, представляющая регион заняла 2 место в Лиге Чемпионов ФИБА",
,88,      1 место в Лиге Чемпионов ФИБА,   да,,1,"Мужская команда, представляющая регион заняла 1 место в Лиге Чемпионов ФИБА",
,89,      3 место в Евролиге,   да,,1,"Мужская команда, представляющая регион заняла 3 место в Евролиге",
,90,      2 место в Евролиге,   да,,1,"Мужская команда, представляющая регион заняла 2 место в Евролиге",
,91,      1 место в Евролиге,   да,,"1,2","Мужская команда, представляющая регион заняла 1 место в Евролиге",
,,   Призовые места в профессиональных лигах женщины,,,,,
,,      3 место в Кубке Берлина,   да,,"1,2",,
,,      2 место в Кубке Берлина,   да,,"1,2",,
,,      1 место в Кубке Берлина,   да,,"1,2",,
,91,      3 место в проф межрегиональных соревнованиях,   да,,"1,2",,
,92,      2 место в проф межрегиональных соревнованиях,   да,,"0,6",,
,93,      1 место в проф межрегиональных соревнованиях,   да,,"0,3",,
,94,      3 место в Высшей лиге,   да,,"0,3","Женская команда, представляющая регион заняла 3 место в Суперлиге 2",
,95,      2 место в Высшей лиге,   да,,"1,5","Женская команда, представляющая регион заняла 2 место в Суперлиге 2",
,96,      1 место в Высшей лиге,   да,,"1,5","Женская команда, представляющая регион заняла 1 место в Суперлиге 2",
,97,      3 место в Суперлиге ,   да,,"1,5","Женская команда, представляющая регион заняла 3 место в Суперлиге 1",
,98,      2 место в Суперлиге ,   да,,"1,5","Женская команда, представляющая регион заняла 2 место в Суперлиге 1",
,99,      1 место в Суперлиге ,   да,,"1,5","Женская команда, представляющая регион заняла 1 место в Суперлиге 1",
,100,      3 место в Кубке России,   да,,"1,5","Женская команда, представляющая регион заняла 3 место в Кубке России",
,101,      2 место в Кубке России,   да,,"1,6","Женская команда, представляющая регион заняла 2 место в Кубке России",
,102,      1 место в Кубке России,   да,,"1,6","Женская команда, представляющая регион заняла 1 место в Кубке России",
,,      1 место в Суперкубке,   да,,"1,6",,
,103,      3 место в Премьер лиге,   да,,"1,6","Женская команда, представляющая регион заняла 3 место в Премьер лиге",
,104,      2 место в Премьер лиге,   да,,"1,7","Женская команда, представляющая регион заняла 2 место в Премьер лиге",
